code,open,high,low,close,volume,거래대금,등락률,시가총액,foreign_net,inst_net,date
198940,703,712,692,702,65341,45892459,-0.28,27323930556,-2394756.0,,20251103
058450,1074,1130,1054,1057,32929,35164148,-0.84,15636857397,-2759513.0,,20251103
107640,47350,50000,46200,49650,245449,11840108700,7.7,450074568900,-2337502325.0,1658724475.0,20251103
079170,7380,7380,7050,7060,51440,365648700,-3.16,36712000000,-24047180.0,,20251103
054920,3940,4030,3907,3920,223702,885554188,-0.76,110610957520,174053259.0,3980.0,20251103
457370,8740,8900,8520,8540,121218,1042949415,-2.29,68551724360,248006800.0,-422067055.0,20251103
002680,735,746,697,709,337853,242976160,-3.54,22912610491,16581131.0,-17925.0,20251103
098070,41650,42000,40300,40450,246025,10047966150,-3.23,449850153450,465370600.0,-300834350.0,20251103
455310,2085,2085,2075,2075,17907,37213585,-0.48,10499500000,41750.0,10227170.0,20251103
498390,2005,2010,2000,2005,13522,27135915,-0.25,9944800000,16040.0,-10067845.0,20251103
034810,7350,7460,7140,7150,80369,585287200,-2.72,232781527550,108075415.0,-4396030.0,20251103
03481K,7190,7240,7010,7070,3754,26666260,-1.67,9819678540,-913190.0,14100.0,20251103
059270,9710,10400,9690,9920,920141,9237687725,2.27,110759766080,23268000.0,,20251103
076610,560,593,560,585,577350,332935691,4.09,26277891705,48973189.0,,20251103
220180,2155,2290,2155,2190,51438,113966505,1.62,52408543980,-37560390.0,,20251103
900270,235,235,207,214,20581375,4442680822,-6.96,40242066560,-46670263.0,-25145.0,20251103
214180,16160,16520,16120,16180,41676,677250120,0.06,212356238340,280666290.0,-26206500.0,20251103
234340,16290,16850,15920,15940,307849,5017839805,-1.85,222692256640,-936963015.0,-177903530.0,20251103
084990,5240,5410,5030,5060,236263,1220545650,-4.53,233229552820,-84970950.0,7116045.0,20251103
187660,2840,2850,2710,2740,1436806,3963778215,-3.52,139573703920,605492992.0,,20251103
170030,6400,6450,6250,6250,189471,1199728545,-2.04,95875000000,5129515.0,6360.0,20251103
319400,10130,10930,10120,10350,8836567,93124518575,2.48,1152742003650,-7714388440.0,-122651010.0,20251103
048410,5250,5290,5120,5180,391069,2026476160,-0.77,497492172800,70737035.0,129772130.0,20251103
052260,4435,4460,4360,4370,92491,405893545,-1.47,131100000000,-141029145.0,-1127600.0,20251103
016790,0,0,0,994,0,0,0.0,187340898626,,,20251103
041440,7700,7750,7640,7700,56839,436154080,-0.65,137952768800,78616940.0,7720.0,20251103
039010,7240,7340,7170,7270,63273,459072630,0.41,62703750000,47750120.0,-735070.0,20251103
090850,5270,5340,5180,5220,77540,406055480,-0.95,123956004420,-72704100.0,-15203750.0,20251103
460930,22700,23250,22400,22550,818228,18679448425,-0.66,800071091050,1319281200.0,87335700.0,20251103
092300,2870,2945,2750,2810,164645,464443951,-2.09,52470612960,92108032.0,26587030.0,20251103
138360,932,950,900,929,321094,295574501,-0.32,48249253756,70533517.0,0.0,20251103
011080,777,790,730,737,2574288,1922776017,-5.99,31185129096,121752600.0,,20251103
308100,1571,1571,1469,1484,786715,1176718981,-5.78,35650143872,133552696.0,24.0,20251103
064240,2100,2170,2030,2050,101292,208910440,-2.38,71827924600,-5141470.0,21139950.0,20251103
039610,8870,8980,8570,8580,142340,1247526640,-3.7,89321232000,22763275.0,-8690.0,20251103
126640,1344,1358,1313,1323,226725,299668889,-1.56,48122652501,-49091767.0,,20251103
127980,6400,6470,6310,6320,7718,48995560,-1.25,74833122880,-2267770.0,,20251103
